
key = model_output

dfm_loadings_collect

key = dfm_loadings_collect

key = 13

key = 0

,0,1,2,3,4
IEF,3.907385971648776e-07,1.8205328362961198e-06,4.1280676230700975e-07,1.1082154878133208e-06,-1.7234430231782543e-06
VGIT,-9.50177968424043e-07,4.007131768337284e-06,-6.379530386706846e-07,6.137669920525923e-07,-1.8676052699947532e-06
TLT,5.932989758285397e-06,-6.134068697945247e-06,4.359862958536747e-06,2.9724388629253617e-06,-9.584891780973388e-07
GOVT,3.339440471847251e-09,2.5951855933858132e-06,8.324535947608656e-09,8.537245210140746e-07,-1.6240360348587448e-06
MUB,3.6715535652326805e-06,-7.754185965572184e-06,3.0617006556718833e-06,1.0398708860517264e-06,1.0946205927956174e-06
SHM,6.920892760645392e-07,-6.562397476504155e-07,4.589803255822411e-07,3.522783484259179e-07,-7.677352602355422e-08
VCSH,-1.4160822318426744e-06,4.295108001504958e-06,-1.0769351364535165e-06,2.5160083528647524e-07,-1.5033846343293893e-06
VCIT,-2.672130020264259e-06,9.772791064859304e-06,-2.4370504969396995e-06,6.710867097899201e-07,-3.122072362785627e-06
VCLT,7.2276779005215675e-06,-1.2662981851411879e-05,6.02617085462169e-06,2.8854092822996726e-06,5.374047402177296e-07
LQD,1.5579829034728395e-06,-2.3141614375898504e-07,1.2482142406571876e-06,1.5480843081494542e-06,-1.4305073862570087e-06
HYG,-8.174973823037234e-06,2.255516496884191e-05,-7.323719451941241e-06,-1.7481265294779175e-07,-5.2826349230589795e-06
SHYG,-5.197276627216164e-06,1.412174640338494e-05,-4.629191291897848e-06,3.6876605040441797e-09,-3.3712625865561557e-06
MBB,-2.0577144054570046e-06,8.154839665492614e-06,-1.7093009594798385e-06,7.010714951141941e-07,-2.9998237250869535e-06
VMBS,-3.786441959957896e-06,1.2730673523209678e-05,-3.313055394537239e-06,4.368857089040403e-07,-3.821295326558198e-06
AGG,-6.867411028857396e-07,4.387245384034784e-06,-5.818894762768362e-07,8.397814049540165e-07,-2.059980279899074e-06
BSV,-8.753338206919545e-07,2.6439079240478838e-06,-4.936876263350407e-07,2.502211708079456e-07,-1.2100348227740955e-06
